# Final state angular momentum:   1
# Broadening parameter (in eV):    0.700
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
    3.69369369    0.00040350
    3.75375375    0.00040298
    3.81381381    0.00040298
    3.87387387    0.00040364
    3.93393393    0.00040503
    3.99399399    0.00040713
    4.05405405    0.00040980
    4.11411411    0.00041282
    4.17417417    0.00041589
    4.23423423    0.00041867
    4.29429429    0.00042084
    4.35435435    0.00042213
    4.41441441    0.00042241
    4.47447447    0.00042164
    4.53453453    0.00041990
    4.59459459    0.00041734
    4.65465465    0.00041415
    4.71471471    0.00041053
    4.77477477    0.00040670
    4.83483483    0.00040287
    4.89489489    0.00039925
    4.95495495    0.00039604
    5.01501502    0.00039341
    5.07507508    0.00039151
    5.13513514    0.00039040
    5.19519520    0.00039012
    5.25525526    0.00039062
    5.31531532    0.00039181
    5.37537538    0.00039357
    5.43543544    0.00039577
    5.49549550    0.00039828
    5.55555556    0.00040103
    5.61561562    0.00040394
    5.67567568    0.00040701
    5.73573574    0.00041020
    5.79579580    0.00041352
    5.85585586    0.00041694
    5.91591592    0.00042047
    5.97597598    0.00042408
    6.03603604    0.00042781
    6.09609610    0.00043171
    6.15615616    0.00043591
    6.21621622    0.00044059
    6.27627628    0.00044597
    6.33633634    0.00045231
    6.39639640    0.00045987
    6.45645646    0.00046888
    6.51651652    0.00047948
    6.57657658    0.00049172
    6.63663664    0.00050553
    6.69669670    0.00052067
    6.75675676    0.00053677
    6.81681682    0.00055332
    6.87687688    0.00056974
    6.93693694    0.00058538
    6.99699700    0.00059967
    7.05705706    0.00061217
    7.11711712    0.00062264
    7.17717718    0.00063105
    7.23723724    0.00063762
    7.29729730    0.00064274
    7.35735736    0.00064685
    7.41741742    0.00065040
    7.47747748    0.00065378
    7.53753754    0.00065721
    7.59759760    0.00066079
    7.65765766    0.00066453
    7.71771772    0.00066836
    7.77777778    0.00067224
    7.83783784    0.00067614
    7.89789790    0.00068011
    7.95795796    0.00068424
    8.01801802    0.00068864
    8.07807808    0.00069340
    8.13813814    0.00069858
    8.19819820    0.00070421
    8.25825826    0.00071031
    8.31831832    0.00071691
    8.37837838    0.00072407
    8.43843844    0.00073183
    8.49849850    0.00074020
    8.55855856    0.00074913
    8.61861862    0.00075847
    8.67867868    0.00076802
    8.73873874    0.00077751
    8.79879880    0.00078668
    8.85885886    0.00079526
    8.91891892    0.00080307
    8.97897898    0.00080993
    9.03903904    0.00081576
    9.09909910    0.00082052
    9.15915916    0.00082426
    9.21921922    0.00082712
    9.27927928    0.00082934
    9.33933934    0.00083125
    9.39939940    0.00083322
    9.45945946    0.00083563
    9.51951952    0.00083880
    9.57957958    0.00084294
    9.63963964    0.00084809
    9.69969970    0.00085421
    9.75975976    0.00086109
    9.81981982    0.00086851
    9.87987988    0.00087623
    9.93993994    0.00088406
   10.00000000    0.00089191
   10.06006006    0.00089977
   10.12012012    0.00090770
   10.18018018    0.00091582
   10.24024024    0.00092425
   10.30030030    0.00093306
   10.36036036    0.00094228
   10.42042042    0.00095182
   10.48048048    0.00096150
   10.54054054    0.00097107
   10.60060060    0.00098018
   10.66066066    0.00098847
   10.72072072    0.00099561
   10.78078078    0.00100134
   10.84084084    0.00100551
   10.90090090    0.00100819
   10.96096096    0.00100961
   11.02102102    0.00101012
   11.08108108    0.00101018
   11.14114114    0.00101020
   11.20120120    0.00101049
   11.26126126    0.00101123
   11.32132132    0.00101241
   11.38138138    0.00101388
   11.44144144    0.00101537
   11.50150150    0.00101653
   11.56156156    0.00101708
   11.62162162    0.00101678
   11.68168168    0.00101557
   11.74174174    0.00101359
   11.80180180    0.00101116
   11.86186186    0.00100872
   11.92192192    0.00100683
   11.98198198    0.00100601
   12.04204204    0.00100676
   12.10210210    0.00100947
   12.16216216    0.00101442
   12.22222222    0.00102182
   12.28228228    0.00103176
   12.34234234    0.00104430
   12.40240240    0.00105939
   12.46246246    0.00107691
   12.52252252    0.00109659
   12.58258258    0.00111801
   12.64264264    0.00114055
   12.70270270    0.00116342
   12.76276276    0.00118568
   12.82282282    0.00120632
   12.88288288    0.00122437
   12.94294294    0.00123895
   13.00300300    0.00124938
   13.06306306    0.00125524
   13.12312312    0.00125633
   13.18318318    0.00125276
   13.24324324    0.00124483
   13.30330330    0.00123308
   13.36336336    0.00121822
   13.42342342    0.00120109
   13.48348348    0.00118257
   13.54354354    0.00116359
   13.60360360    0.00114497
   13.66366366    0.00112745
   13.72372372    0.00111154
   13.78378378    0.00109762
   13.84384384    0.00108582
   13.90390390    0.00107611
   13.96396396    0.00106830
   14.02402402    0.00106201
   14.08408408    0.00105674
   14.14414414    0.00105189
   14.20420420    0.00104683
   14.26426426    0.00104095
   14.32432432    0.00103381
   14.38438438    0.00102517
   14.44444444    0.00101505
   14.50450450    0.00100372
   14.56456456    0.00099161
   14.62462462    0.00097927
   14.68468468    0.00096726
   14.74474474    0.00095610
   14.80480480    0.00094625
   14.86486486    0.00093806
   14.92492492    0.00093178
   14.98498498    0.00092760
   15.04504505    0.00092559
   15.10510511    0.00092577
   15.16516517    0.00092810
   15.22522523    0.00093252
   15.28528529    0.00093890
   15.34534535    0.00094713
   15.40540541    0.00095705
   15.46546547    0.00096846
   15.52552553    0.00098113
   15.58558559    0.00099474
   15.64564565    0.00100887
   15.70570571    0.00102306
   15.76576577    0.00103676
   15.82582583    0.00104941
   15.88588589    0.00106057
   15.94594595    0.00106990
   16.00600601    0.00107725
   16.06606607    0.00108269
   16.12612613    0.00108640
   16.18618619    0.00108869
   16.24624625    0.00108987
   16.30630631    0.00109020
   16.36636637    0.00108981
   16.42642643    0.00108867
   16.48648649    0.00108664
   16.54654655    0.00108346
   16.60660661    0.00107888
   16.66666667    0.00107273
   16.72672673    0.00106496
   16.78678679    0.00105573
   16.84684685    0.00104539
   16.90690691    0.00103440
   16.96696697    0.00102333
   17.02702703    0.00101275
   17.08708709    0.00100321
   17.14714715    0.00099512
   17.20720721    0.00098876
   17.26726727    0.00098421
   17.32732733    0.00098130
   17.38738739    0.00097966
   17.44744745    0.00097867
   17.50750751    0.00097759
   17.56756757    0.00097561
   17.62762763    0.00097200
   17.68768769    0.00096628
   17.74774775    0.00095830
   17.80780781    0.00094826
   17.86786787    0.00093674
   17.92792793    0.00092456
   17.98798799    0.00091264
   18.04804805    0.00090186
   18.10810811    0.00089296
   18.16816817    0.00088650
   18.22822823    0.00088273
   18.28828829    0.00088169
   18.34834835    0.00088311
   18.40840841    0.00088655
   18.46846847    0.00089135
   18.52852853    0.00089676
   18.58858859    0.00090204
   18.64864865    0.00090654
   18.70870871    0.00090983
   18.76876877    0.00091172
   18.82882883    0.00091229
   18.88888889    0.00091181
   18.94894895    0.00091066
   19.00900901    0.00090919
   19.06906907    0.00090767
   19.12912913    0.00090623
   19.18918919    0.00090484
   19.24924925    0.00090333
   19.30930931    0.00090151
   19.36936937    0.00089914
   19.42942943    0.00089606
   19.48948949    0.00089217
   19.54954955    0.00088752
   19.60960961    0.00088229
   19.66966967    0.00087680
   19.72972973    0.00087145
   19.78978979    0.00086673
   19.84984985    0.00086310
   19.90990991    0.00086099
   19.96996997    0.00086070
   20.03003003    0.00086240
   20.09009009    0.00086611
   20.15015015    0.00087168
   20.21021021    0.00087880
   20.27027027    0.00088702
   20.33033033    0.00089577
   20.39039039    0.00090441
   20.45045045    0.00091228
   20.51051051    0.00091883
   20.57057057    0.00092365
   20.63063063    0.00092656
   20.69069069    0.00092760
   20.75075075    0.00092708
   20.81081081    0.00092546
   20.87087087    0.00092334
   20.93093093    0.00092139
   20.99099099    0.00092028
   21.05105105    0.00092059
   21.11111111    0.00092282
   21.17117117    0.00092731
   21.23123123    0.00093426
   21.29129129    0.00094371
   21.35135135    0.00095554
   21.41141141    0.00096950
   21.47147147    0.00098521
   21.53153153    0.00100219
   21.59159159    0.00101990
   21.65165165    0.00103776
   21.71171171    0.00105521
   21.77177177    0.00107179
   21.83183183    0.00108710
   21.89189189    0.00110089
   21.95195195    0.00111303
   22.01201201    0.00112352
   22.07207207    0.00113245
   22.13213213    0.00114002
   22.19219219    0.00114647
   22.25225225    0.00115211
   22.31231231    0.00115724
   22.37237237    0.00116214
   22.43243243    0.00116705
   22.49249249    0.00117210
   22.55255255    0.00117732
   22.61261261    0.00118259
   22.67267267    0.00118771
   22.73273273    0.00119238
   22.79279279    0.00119627
   22.85285285    0.00119907
   22.91291291    0.00120056
   22.97297297    0.00120058
   23.03303303    0.00119908
   23.09309309    0.00119606
   23.15315315    0.00119158
   23.21321321    0.00118566
   23.27327327    0.00117829
   23.33333333    0.00116948
   23.39339339    0.00115921
   23.45345345    0.00114750
   23.51351351    0.00113448
   23.57357357    0.00112036
   23.63363363    0.00110550
   23.69369369    0.00109034
   23.75375375    0.00107538
   23.81381381    0.00106113
   23.87387387    0.00104808
   23.93393393    0.00103666
   23.99399399    0.00102723
   24.05405405    0.00102009
   24.11411411    0.00101543
   24.17417417    0.00101340
   24.23423423    0.00101405
   24.29429429    0.00101735
   24.35435435    0.00102320
   24.41441441    0.00103143
   24.47447447    0.00104174
   24.53453453    0.00105380
   24.59459459    0.00106715
   24.65465465    0.00108124
   24.71471471    0.00109546
   24.77477477    0.00110911
   24.83483483    0.00112151
   24.89489489    0.00113209
   24.95495495    0.00114044
   25.01501502    0.00114639
   25.07507508    0.00115003
   25.13513514    0.00115160
   25.19519520    0.00115145
   25.25525526    0.00114988
   25.31531532    0.00114705
   25.37537538    0.00114294
   25.43543544    0.00113739
   25.49549550    0.00113017
   25.55555556    0.00112105
   25.61561562    0.00111002
   25.67567568    0.00109726
   25.73573574    0.00108328
   25.79579580    0.00106879
   25.85585586    0.00105472
   25.91591592    0.00104203
   25.97597598    0.00103165
   26.03603604    0.00102442
   26.09609610    0.00102098
   26.15615616    0.00102176
   26.21621622    0.00102698
   26.27627628    0.00103659
   26.33633634    0.00105031
   26.39639640    0.00106759
   26.45645646    0.00108760
   26.51651652    0.00110928
   26.57657658    0.00113134
   26.63663664    0.00115239
   26.69669670    0.00117106
   26.75675676    0.00118616
   26.81681682    0.00119683
   26.87687688    0.00120269
   26.93693694    0.00120384
   26.99699700    0.00120081
   27.05705706    0.00119443
   27.11711712    0.00118565
   27.17717718    0.00117534
   27.23723724    0.00116419
   27.29729730    0.00115264
   27.35735736    0.00114093
   27.41741742    0.00112907
   27.47747748    0.00111702
   27.53753754    0.00110466
   27.59759760    0.00109192
   27.65765766    0.00107875
   27.71771772    0.00106515
   27.77777778    0.00105113
   27.83783784    0.00103673
   27.89789790    0.00102202
   27.95795796    0.00100710
   28.01801802    0.00099207
   28.07807808    0.00097707
   28.13813814    0.00096223
   28.19819820    0.00094765
   28.25825826    0.00093337
   28.31831832    0.00091939
   28.37837838    0.00090562
   28.43843844    0.00089198
   28.49849850    0.00087831
   28.55855856    0.00086453
   28.61861862    0.00085058
   28.67867868    0.00083649
   28.73873874    0.00082242
   28.79879880    0.00080856
   28.85885886    0.00079520
   28.91891892    0.00078261
   28.97897898    0.00077103
   29.03903904    0.00076061
   29.09909910    0.00075140
   29.15915916    0.00074334
   29.21921922    0.00073627
   29.27927928    0.00072997
   29.33933934    0.00072420
   29.39939940    0.00071872
   29.45945946    0.00071336
   29.51951952    0.00070804
   29.57957958    0.00070277
   29.63963964    0.00069768
   29.69969970    0.00069299
   29.75975976    0.00068897
   29.81981982    0.00068592
   29.87987988    0.00068411
   29.93993994    0.00068375
   30.00000000    0.00068496
   30.06006006    0.00068775
   30.12012012    0.00069199
   30.18018018    0.00069745
   30.24024024    0.00070378
   30.30030030    0.00071057
   30.36036036    0.00071737
   30.42042042    0.00072376
   30.48048048    0.00072938
   30.54054054    0.00073398
   30.60060060    0.00073739
   30.66066066    0.00073955
   30.72072072    0.00074044
   30.78078078    0.00074009
   30.84084084    0.00073855
   30.90090090    0.00073590
   30.96096096    0.00073229
   31.02102102    0.00072789
   31.08108108    0.00072299
   31.14114114    0.00071794
   31.20120120    0.00071313
   31.26126126    0.00070898
   31.32132132    0.00070589
   31.38138138    0.00070419
   31.44144144    0.00070411
   31.50150150    0.00070574
   31.56156156    0.00070901
   31.62162162    0.00071368
   31.68168168    0.00071936
   31.74174174    0.00072553
   31.80180180    0.00073161
   31.86186186    0.00073700
   31.92192192    0.00074123
   31.98198198    0.00074397
   32.04204204    0.00074514
   32.10210210    0.00074485
   32.16216216    0.00074341
   32.22222222    0.00074121
   32.28228228    0.00073871
   32.34234234    0.00073634
   32.40240240    0.00073449
   32.46246246    0.00073347
   32.52252252    0.00073354
   32.58258258    0.00073491
   32.64264264    0.00073779
   32.70270270    0.00074232
   32.76276276    0.00074863
   32.82282282    0.00075675
   32.88288288    0.00076665
   32.94294294    0.00077815
   33.00300300    0.00079093
   33.06306306    0.00080454
   33.12312312    0.00081842
   33.18318318    0.00083188
   33.24324324    0.00084422
   33.30330330    0.00085474
   33.36336336    0.00086284
   33.42342342    0.00086809
   33.48348348    0.00087029
   33.54354354    0.00086952
   33.60360360    0.00086614
   33.66366366    0.00086073
   33.72372372    0.00085402
   33.78378378    0.00084676
   33.84384384    0.00083967
   33.90390390    0.00083330
   33.96396396    0.00082801
   34.02402402    0.00082396
   34.08408408    0.00082113
   34.14414414    0.00081933
   34.20420420    0.00081828
   34.26426426    0.00081766
   34.32432432    0.00081715
   34.38438438    0.00081647
   34.44444444    0.00081546
   34.50450450    0.00081404
   34.56456456    0.00081226
   34.62462462    0.00081030
   34.68468468    0.00080844
   34.74474474    0.00080703
   34.80480480    0.00080639
   34.86486486    0.00080685
   34.92492492    0.00080864
   34.98498498    0.00081189
   35.04504505    0.00081663
   35.10510511    0.00082284
   35.16516517    0.00083042
   35.22522523    0.00083924
   35.28528529    0.00084916
   35.34534535    0.00086000
   35.40540541    0.00087156
   35.46546547    0.00088358
   35.52552553    0.00089578
   35.58558559    0.00090786
   35.64564565    0.00091955
   35.70570571    0.00093060
   35.76576577    0.00094085
   35.82582583    0.00095013
   35.88588589    0.00095828
   35.94594595    0.00096510
   36.00600601    0.00097031
   36.06606607    0.00097356
   36.12612613    0.00097451
   36.18618619    0.00097286
   36.24624625    0.00096844
   36.30630631    0.00096131
   36.36636637    0.00095180
   36.42642643    0.00094046
   36.48648649    0.00092807
   36.54654655    0.00091550
   36.60660661    0.00090359
   36.66666667    0.00089311
   36.72672673    0.00088469
   36.78678679    0.00087877
   36.84684685    0.00087561
   36.90690691    0.00087536
   36.96696697    0.00087801
   37.02702703    0.00088350
   37.08708709    0.00089169
   37.14714715    0.00090238
   37.20720721    0.00091536
   37.26726727    0.00093036
